受験番号,﻿国語点数,数学点数,英語点数,国語成績,社会成績,数学成績,理科成績,音楽成績,美術成績,保健体育成績,技術家庭成績,英語成績,素点,記録点,換算記録点,総合点,合否,順位
8,100,100,67,5,4,3,5,3,3,2,4,4,267,33,514,781,1,1
4,81,63,64,3,4,5,3,5,4,5,2,4,208,35,542,750,1,2
2,40,36,70,4,3,4,5,5,5,3,4,5,146,38,585,731,1,3
6,37,89,97,2,3,3,3,4,5,4,5,4,223,33,500,723,1,4
15,99,77,38,3,5,2,5,3,4,5,2,4,214,33,500,714,1,5
7,94,92,46,5,5,3,3,2,2,3,3,5,232,31,471,703,1,6
9,52,34,48,5,3,5,3,5,4,3,5,3,134,36,557,691,1,7
5,70,66,65,5,2,3,2,5,5,3,4,3,201,32,471,672,1,8
10,38,56,55,3,2,4,5,3,3,4,4,5,149,33,514,663,0,9
11,51,34,76,3,2,3,4,5,4,4,3,4,161,32,485,646,0,10
13,48,82,55,5,4,3,2,4,4,3,4,2,185,31,457,642,0,11
14,62,85,80,3,2,2,3,3,2,3,3,5,227,26,385,612,0,12
1,67,36,71,2,3,2,2,5,5,3,2,5,174,29,414,588,0,13
3,50,75,48,5,4,2,4,3,3,2,2,2,173,27,400,573,0,14
12,51,50,57,4,4,2,4,3,2,3,2,2,158,26,385,543,0,15
